flg,date,url,title
0,2016/02/06,http://style.nikkei.com/article/DGXMZO12054150U7A120C1000000?channel=DF220420167276&style=1,"AIとスポーツの融合　カギは「レジェンドの知」継承"
0,2016/02/06,http://www.nikkei.com/article/DGKKZO12543610U7A200C1TCJ000/,"〈法トーク〉フィンテック・ＡＩ関連に意欲 弁護士　岩倉正和氏"
0,2016/02/01,http://www.nikkei.com/article/DGKKASFK25H41_R30C17A1TJC000/,"ＡＩ特許 ４年で７割増　米中突出 日本は減"
0,2016/01/31,http://www.nikkei.com/article/DGKKZO12336510R30C17A1ENK000/,"人工知能の使い方"
0,2016/02/06,http://www.excite.co.jp/News/column_g/20170206/Sirabee_20161064063.html,"人類が危ない！？滅ぼされないための正しい人工知能との付き合い方"
0,2016/02/04,http://www.gizmodo.jp/2017/02/lets-see-how-paintschainer-paints-maho-girls-precure.html,"人が塗る時代は過去になるのか？ 人工知能が『魔法つかいプリキュア！』を塗る"
0,2016/02/07,https://www.bloomberg.co.jp/news/articles/2017-02-07/OKZDL76TTDSS01,"100％人工知能のヘッジファンド誕生－株取引に人間の感情は邪魔か"
0,2016/02/06,http://thebridge.jp/2017/02/how-ai-will-transform-education-in-2017,"人工知能による会話型教育が浸透するかーー2017年、AIは教育業界をどう変えるか？"
0,2016/02/07,http://dd.hokkaido-np.co.jp/news/science/science/1-0365771.html,"人工知能・AIによる人事評価は公平か－北海道大学の裁判劇とワークショップから　１－舞台は西暦2030年"
0,2016/02/04,https://www.advertimes.com/20170204/article243498/,"松尾先生、人工知能と広告の未来はどっちですか？【後編】"
1,2017/02/23,http://www.nikkei.com/article/DGXLASDZ22HST_S7A220C1TI1000/,"イオン、従業員の質問にＡＩが回答　接客能力高める"
1,2017/02/22,http://www.nikkei.com/article/DGXLASFB06HLT_S7A220C1MM0000/,"高速道の除雪、ＡＩで効率化　東日本高速"
1,2017/02/21,http://itpro.nikkeibp.co.jp/atcl/news/17/022100576/,"ミツバグループ、グローバル53社の人事評価でAI活用"
1,2017/02/20,http://www.nikkei.com/article/DGXLZO13144060Q7A220C1TI5000/,"ローソン、健康志向に応じ商品提案　ＬＩＮＥでＡＩが対応"
1,2017/02/20,http://itpro.nikkeibp.co.jp/atcl/news/17/022000545/,"機械学習を中堅中小にも、PBCがERP「Dynamics NAV」新版"
1,2017/02/20,http://www.itmedia.co.jp/enterprise/articles/1702/20/news048.html,"分析モデルの開発、展開を機械学習で自動化　IBMが提供へ"
1,2017/02/20,http://itpro.nikkeibp.co.jp/atcl/news/17/021700540/,"NTTドコモと東京無線が“ウーバー対抗策”、AIでタクシー需要を予測"
1,2017/02/19,http://www.nikkei.com/article/DGXLASGG18H15_Z10C17A2TJM000/,"ＡＩ用スパコン、夏ごろから稼働　東工大"
1,2017/02/19,http://www.nikkei.com/article/DGXLZO13104170Z10C17A2TJC000/,"オンキヨー、ＡＩ家電に100億円投資　20年度に売上高400億円"
1,2017/02/17,http://www.itmedia.co.jp/enterprise/articles/1702/17/news051.html,"GoogleのAIライブラリ「TensorFlow」がVer.1.0に　高速化してより柔軟に、新APIも追加"
1,2017/02/17,http://www.nikkei.com/article/DGXLASGM17H8D_X10C17A2000000/,"独ボッシュ、ＩＢＭとＩｏＴで提携　ワトソン活用"
1,2017/02/17,http://itpro.nikkeibp.co.jp/atcl/news/17/021700538/,"マイクロソフト、AIとロボットで接客するためのクラウドサービス"
1,2017/02/17,http://www.nikkei.com/article/DGXLZO13076690X10C17A2TI5000/,"ユニクロのネット通販、ＡＩがお薦め商品提案　米で実験"
1,2017/02/16,http://www.itmedia.co.jp/enterprise/articles/1702/16/news079.html,Microsoft、"ドローンのAI学習シミュレーターをオープンソース公開"
1,2017/02/16,http://www.itmedia.co.jp/enterprise/articles/1702/16/news044.html,"IBM、Watson活用のコンテンツ管理ツール「Watson Content Hub」を発表"
1,2017/02/15,http://news.mynavi.jp/news/2017/02/15/183/,"人工知能を活用したFXサービスを目指して日本マイクロソフトとSBIグループ"
1,2017/02/15,http://monoist.atmarkit.co.jp/mn/articles/1702/15/news023.html,"官民が連携し、先進型AI技術の研究ラボを設立"
1,2017/02/15,http://www.sankeibiz.jp/business/news/170215/prl1702150902003-n1.htm,"問い合わせ内容の可視化と人工知能（AI）技術を融合エネルギー事業者に特化したAIチャットサービスを提供開始"
1,2017/02/15,http://www.jiji.com/jc/article?k=000000069.000004930&g=prt,"アプリ開発/制作のゆめみ、株式会社セレスと人工知能（AI）及び機械学習に関する研究所、 ビジネスサイエンスAIラボを共同設立"
1,2017/02/15,http://venturetimes.jp/venture-news/ai/17506.html,"サイバーの人工知能のアドテクノロジー活用を図る「AI Lab」、東京工業大学と産学連携"

